web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,03/04/2023,08/04/2023,15/04/2023,"425,50","319,50",MOBILHOME 6 personnes - Faro CONFORT Climatisé 4/6 p,Camping Club Les Tamaris,6 Adultes, 66420 LE BARCARES,,14,camping-club-les-tamaris-77541,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"434,25","326,25",MOBILHOME 6 personnes - Nirvana CLASSIC Climatisé,Camping Club Les Tamaris,6 Adultes, 66420 LE BARCARES,,14,camping-club-les-tamaris-77541,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,331,331,MOBILHOME 6 personnes - 6 Places 3 Chambres (Clim TV),Camping Club Les Tamaris,6 Adultes, 66420 LE BARCARES,,14,camping-club-les-tamaris-77541,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,456,342,MOBILHOME 6 personnes - Venezia CONFORT Climatisé,Camping Club Les Tamaris,6 Adultes, 66420 LE BARCARES,,14,camping-club-les-tamaris-77541,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,472,354,MOBILHOME 6 personnes - Bahia CONFORT Climatisé,Camping Club Les Tamaris,6 Adultes, 66420 LE BARCARES,,14,camping-club-les-tamaris-77541,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"545,50","409,50",MOBILHOME 6 personnes - Toscane CONFORT Climatisé,Camping Club Les Tamaris,6 Adultes, 66420 LE BARCARES,,14,camping-club-les-tamaris-77541,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,592,444,MOBILHOME 8 personnes - Family CONFORT Climatisé,Camping Club Les Tamaris,8 Adultes, 66420 LE BARCARES,,14,camping-club-les-tamaris-77541,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,652,489,MOBILHOME 8 personnes - Tribu CONFORT Climatisé,Camping Club Les Tamaris,8 Adultes, 66420 LE BARCARES,,14,camping-club-les-tamaris-77541,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,149,149,TENTE TOILE ET BOIS 4 personnes - Safari,Le Pearl - Camping Paradis,4 Adultes, 66700 ARGELES,,14,le-pearl-camping-paradis-76750,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,159,159,MOBILHOME 4 personnes - Eco,Le Pearl - Camping Paradis,4 Adultes, 66700 ARGELES,,14,le-pearl-camping-paradis-76750,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,169,169,MOBILHOME 4 personnes - Classique,Le Pearl - Camping Paradis,4 Adultes, 66700 ARGELES,,14,le-pearl-camping-paradis-76750,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,169,169,MOBILHOME 4 personnes - Classique (arrivée samedi),Le Pearl - Camping Paradis,4 Adultes, 66700 ARGELES,,14,le-pearl-camping-paradis-76750,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,199,199,MOBILHOME 6 personnes - Classique,Le Pearl - Camping Paradis,6 Adultes, 66700 ARGELES,,14,le-pearl-camping-paradis-76750,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,229,229,MOBILHOME 5 personnes - Confort,Le Pearl - Camping Paradis,5 Adultes, 66700 ARGELES,,14,le-pearl-camping-paradis-76750,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,229,229,MOBILHOME 5 personnes - Confort (arrivée samedi),Le Pearl - Camping Paradis,5 Adultes, 66700 ARGELES,,14,le-pearl-camping-paradis-76750,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,239,239,MOBILHOME 5 personnes - Premium,Le Pearl - Camping Paradis,5 Adultes, 66700 ARGELES,,14,le-pearl-camping-paradis-76750,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,239,239,MOBILHOME 7 personnes - Confort (arrivée samedi),Le Pearl - Camping Paradis,7 Adultes, 66700 ARGELES,,14,le-pearl-camping-paradis-76750,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,242,242,MOBILHOME 7 personnes - Confort,Le Pearl - Camping Paradis,7 Adultes, 66700 ARGELES,,14,le-pearl-camping-paradis-76750,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,319,319,MOBILHOME 8 personnes - Confort,Le Pearl - Camping Paradis,8 Adultes, 66700 ARGELES,,14,le-pearl-camping-paradis-76750,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,349,349,MOBILHOME 7 personnes - Premium - 2013 (arrivée samedi),Le Pearl - Camping Paradis,7 Adultes, 66700 ARGELES,,14,le-pearl-camping-paradis-76750,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,349,349,MOBILHOME 7 personnes - Premium plus - 2019,Le Pearl - Camping Paradis,7 Adultes, 66700 ARGELES,,14,le-pearl-camping-paradis-76750,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,149,149,CHALET 5 personnes - EVASION,Camping La Maïre,4 Adultes, 34410 SERIGNAN,,14,camping-la-maire-78521,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,169,169,MOBILHOME 4 personnes - COCOON,Camping La Maïre,4 Adultes, 34410 SERIGNAN,,14,camping-la-maire-78521,Languedoc-roussillon
