url,web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
https://www.campings.com/fr/camping/camping-la-commanderie-79905#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,490,490,MOBILHOME 6 personnes - Confort 3 chambres 32m² (TV),Camping La Commanderie,6 Adultes, FRANCE,,,14,camping-la-commanderie-79905,
https://www.campings.com/fr/camping/camping-le-bosc-den-roug-78217#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,259,259,MOBILHOME 5 personnes - ESPACE,Camping Le Bosc d'En Roug,5 Adultes, 66750 SAINT CYPRIEN,,,14,camping-le-bosc-den-roug-78217,
https://www.campings.com/fr/camping/camping-le-bosc-den-roug-78217#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,273,273,MOBILHOME 4 personnes - CONFORT PREMIUM,Camping Le Bosc d'En Roug,4 Adultes, 66750 SAINT CYPRIEN,,,14,camping-le-bosc-den-roug-78217,
https://www.campings.com/fr/camping/camping-le-bosc-den-roug-78217#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,308,308,MOBILHOME 5 personnes - ESPACE PREMIUM,Camping Le Bosc d'En Roug,4 Adultes, 66750 SAINT CYPRIEN,,,14,camping-le-bosc-den-roug-78217,
https://www.campings.com/fr/camping/camping-le-bosc-den-roug-78217#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,315,315,MOBILHOME 6 personnes - ESPACE,Camping Le Bosc d'En Roug,6 Adultes, 66750 SAINT CYPRIEN,,,14,camping-le-bosc-den-roug-78217,
https://www.campings.com/fr/camping/camping-le-bosc-den-roug-78217#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,364,364,MOBILHOME 4 personnes - COTTAGE PREMIUM,Camping Le Bosc d'En Roug,4 Adultes, 66750 SAINT CYPRIEN,,,14,camping-le-bosc-den-roug-78217,
https://www.campings.com/fr/camping/camping-le-soleil-de-la-mediterranee-78216#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,415,290,MOBILHOME 6 personnes,Camping Le Soleil de La Méditerranée,6 Adultes, 66750 SAINT CYPRIEN,,,14,camping-le-soleil-de-la-mediterranee-78216,
https://www.campings.com/fr/camping/camping-le-soleil-de-la-mediterranee-78216#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,299,299,MOBILHOME 6 personnes - Comfort 4/6 places,Camping Le Soleil de La Méditerranée,4 Adultes, 66750 SAINT CYPRIEN,,,14,camping-le-soleil-de-la-mediterranee-78216,
https://www.campings.com/fr/camping/camping-le-soleil-de-la-mediterranee-78216#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,322,322,MOBILHOME 6 personnes - Comfort,Camping Le Soleil de La Méditerranée,6 Adultes, 66750 SAINT CYPRIEN,,,14,camping-le-soleil-de-la-mediterranee-78216,
https://www.campings.com/fr/camping/camping-des-alberes-77482#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,259,169,MOBILHOME 4 personnes - LOISIRS,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,,14,camping-des-alberes-77482,
https://www.campings.com/fr/camping/camping-des-alberes-77482#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,319,219,MOBILHOME 8 personnes - FEERIQUE,Camping des Albères,8 Adultes, 66740 LAROQUE DES ALBERES,,,14,camping-des-alberes-77482,
https://www.campings.com/fr/camping/camping-des-alberes-77482#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,199,199,CHALET 2 personnes,Camping des Albères,2 Adultes, 66740 LAROQUE DES ALBERES,,,14,camping-des-alberes-77482,
